Customer_ID,Last_Purchase_Date,Days_Since_Last_Purchase,Churn,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Total_Revenue,Avg_Order_Value,Total_Orders,Avg_Basket_Size,Monthly_Spend,CLV,Repeat_Purchase_Rate,Weekend_Ratio,Quarterly_Spend,Customer_Age,Loyalty_Score,Gender_Female,Gender_Male,Gender_Other,Country_Australia,Country_Canada,Country_France,Country_Germany,Country_India,Country_UAE,Country_UK,Country_USA,Preferred_Category_Beauty,Preferred_Category_Books,Preferred_Category_Clothing,Preferred_Category_Electronics,Preferred_Category_Grocery,Preferred_Category_Home & Kitchen,Preferred_Category_Sports,Preferred_Category_Toys,Preferred_Payment_COD,Preferred_Payment_Credit Card,Preferred_Payment_Debit Card,Preferred_Payment_Net Banking,Preferred_Payment_UPI,Preferred_Payment_Wallet,Cluster,Segment,PCA1,PCA2
C00001,2024-11-22,39,0,39,3,10602.38,2,1,2,5,10602.38,3534.1266666666666,3,6.666666666666667,3832.185542168675,883.5316666666666,1,0.3333333333333333,10602.38,56.0,2.5,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,New Customers,-0.9814507666495088,-0.7205725522833675
C00002,2024-03-19,287,1,287,5,6022.94,1,2,2,5,6022.94,1204.588,5,5.8,342.86185958254265,501.9116666666667,1,0.8,,69.0,4.2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,Lost Customers,-1.9488858435194831,0.12423911941860588
C00003,2024-12-13,18,0,18,7,10331.0,3,3,2,8,10331.0,1475.857142857143,7,4.0,3603.837209302325,860.9166666666667,1,0.2857142857142857,10331.0,46.0,2.9,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,3,New Customers,-0.630643582677436,-0.5213716112503625
C00004,2024-12-09,22,0,22,11,27450.13,2,3,4,9,27450.13,2495.466363636364,11,6.090909090909091,10166.714814814814,2287.5108333333333,1,0.2727272727272727,27450.13,32.0,0.7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4,Loyal Customers,0.8404363612166308,-1.667577671811235
C00005,2024-07-19,165,1,165,3,6620.82,2,1,2,5,6620.82,2206.94,3,4.333333333333333,550.2066481994459,551.735,1,0.3333333333333333,,60.0,3.8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3,New Customers,-1.6612609981304907,-0.06792719622516125
C00006,2024-05-20,225,1,225,2,3863.42,1,1,1,3,3863.42,1931.71,2,3.0,272.712,321.95166666666665,1,0.0,,25.0,8.7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,2,At-Risk Customers,-2.0811041078014862,2.392094272903325
C00007,2024-12-31,0,0,0,23,34359.2,5,5,4,14,34359.2,1493.878260869565,23,4.086956521739131,11848.0,2863.2666666666664,1,0.391304347826087,34359.2,38.0,4.8,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,VIP Customers,2.3297985968958725,0.3634957890515219
C00008,2024-06-26,188,1,188,2,2597.26,1,1,1,3,2597.26,1298.63,2,7.5,414.45638297872347,216.43833333333333,0,0.0,,56.0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3,New Customers,-2.1106968551403096,-0.9618126363176276
C00009,2024-12-26,5,0,5,16,40762.22,4,4,5,13,40762.22,2547.63875,16,5.125,15677.776923076925,3396.8516666666665,1,0.1875,40762.22,36.0,5.8,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1,VIP Customers,2.2527301217995004,0.8556665201736183
C00010,2024-12-22,9,0,9,15,26766.5,3,4,4,11,26766.5,1784.4333333333334,15,5.066666666666666,9124.943181818184,2230.541666666667,1,0.3333333333333333,26766.5,40.0,6.6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4,Loyal Customers,1.1862293011202774,1.2896640272575215
